ncols	128
nrows	92
xllcorner	280654.681342
yllcorner	3772085.885776
cellsize	500.000000
NODATA_value	-32768.000000
28	25	25	29	32	33	25	17	23	25	24	26	28	32	35	34	35	28	21	22	25	25	23	24	24	22	24	27	28	27	28	28	27	28	27	25	17	14	23	25	23	25	21	17	20	24	28	29	23	23	22	15	17	26	29	31	33	32	32	30	23	24	25	22	24	28	33	40	45	45	42	43	46	50	50	49	50	49	46	43	41	29	18	28	34	31	29	30	33	33	32	33	32	35	41	39	39	44	44	39	38	32	24	32	42	47	52	52	49	45	43	43	38	36	38	37	35	32	31	29	29	30	32	34	34	35	35	35	
28	25	25	29	32	33	25	17	23	25	24	26	28	32	35	34	35	28	21	22	25	25	23	24	24	22	24	27	28	27	28	28	27	28	27	25	17	14	23	25	23	25	21	17	20	24	28	29	23	23	22	15	17	26	29	31	33	32	32	30	23	24	25	22	24	28	33	40	45	45	42	43	46	50	50	49	50	49	46	43	41	29	18	28	34	31	29	30	33	33	32	33	32	35	41	39	39	44	44	39	38	32	24	32	42	47	52	52	49	45	43	43	38	36	38	37	35	32	31	29	29	30	32	34	34	35	35	35	
34	31	30	35	37	36	26	21	29	31	29	32	34	36	36	34	32	27	24	28	30	28	27	28	30	28	30	33	33	33	33	33	32	33	32	28	22	22	30	28	25	27	24	22	29	33	34	32	26	27	26	20	24	33	33	34	37	34	33	32	26	26	29	26	29	35	40	43	42	41	40	43	45	46	45	46	46	42	40	38	35	24	19	32	36	30	28	29	32	32	35	41	39	33	34	35	38	40	39	37	36	31	24	35	41	40	45	48	49	48	47	44	39	40	41	37	34	33	33	34	35	37	38	38	36	35	36	36	
37	33	31	34	36	34	27	26	34	35	35	38	38	37	36	34	32	28	28	32	34	33	33	36	37	35	36	38	37	37	36	36	36	35	34	31	29	32	36	31	29	32	32	28	36	43	39	37	33	31	31	30	39	43	35	36	41	38	33	33	28	30	37	38	42	44	45	43	40	40	41	42	43	43	42	41	37	32	33	36	34	24	20	34	35	29	29	30	32	35	40	44	38	28	30	34	39	39	37	37	35	28	24	35	37	35	38	42	44	42	41	40	39	41	39	34	33	34	37	39	39	40	41	39	36	36	37	37	
29	29	28	26	31	34	31	29	32	35	37	39	39	38	38	38	36	32	30	32	35	35	36	37	39	38	37	39	39	39	37	37	37	35	34	32	31	31	32	31	32	37	38	30	33	40	36	36	37	32	31	32	40	42	33	33	42	41	32	32	30	31	38	40	41	39	39	40	39	41	42	42	44	45	43	40	37	36	42	47	40	25	19	30	34	32	34	33	32	34	36	35	29	27	32	37	42	40	39	38	35	26	22	32	36	37	38	41	42	35	34	34	33	35	34	30	31	35	40	41	37	35	36	36	36	36	35	35	
23	31	35	33	37	41	37	35	35	37	40	41	42	41	39	38	36	32	32	34	36	35	35	36	38	39	39	39	40	40	39	38	38	36	35	34	33	32	31	32	32	37	38	34	37	42	37	32	31	31	29	32	39	39	36	30	39	44	37	32	29	31	31	31	36	35	37	39	37	40	41	38	39	40	40	44	47	49	50	44	35	27	26	36	39	39	41	36	32	33	38	37	32	33	36	40	43	39	35	34	33	28	21	31	40	41	38	41	44	39	37	33	26	29	32	26	26	33	39	42	36	34	37	36	35	34	32	32	
22	32	38	37	39	39	34	33	34	35	37	38	38	37	36	36	34	33	33	34	34	34	35	36	37	37	36	37	37	37	37	37	36	36	35	34	34	34	34	36	36	37	38	35	39	41	36	32	32	32	30	35	39	38	38	32	33	44	43	33	27	33	33	35	41	38	39	40	37	42	42	36	35	36	38	41	38	33	33	35	37	41	44	41	36	40	46	44	41	40	47	46	38	39	40	42	43	40	37	35	34	32	25	26	36	35	32	39	42	38	33	30	26	27	30	26	24	28	33	37	34	32	37	37	37	35	32	32	
22	29	34	32	32	31	28	28	31	34	35	36	35	33	34	34	33	33	34	35	35	35	36	37	37	37	37	37	38	38	38	38	38	38	38	38	38	38	40	40	40	39	39	37	38	37	35	35	38	37	36	39	39	39	41	36	32	39	45	41	37	44	44	45	49	45	44	42	39	44	45	40	43	46	45	43	36	33	38	43	41	37	34	25	21	32	42	44	43	38	44	41	35	36	40	42	41	41	39	39	38	38	30	21	29	33	34	40	39	33	30	28	26	27	31	30	27	28	32	37	34	28	30	33	34	33	31	31	
18	26	32	30	32	31	29	29	31	32	33	34	35	34	34	35	34	33	34	35	35	35	36	37	37	36	36	37	38	39	39	40	40	39	38	38	37	35	36	36	36	36	37	38	38	38	37	36	39	39	40	41	40	41	42	38	36	41	51	53	53	57	53	49	52	52	53	49	47	52	49	45	49	53	58	60	55	50	46	35	26	28	30	25	19	26	32	34	35	33	37	35	32	36	40	40	38	39	38	37	36	36	30	23	31	37	35	37	35	32	35	34	30	29	29	27	29	33	34	35	34	28	28	29	29	33	35	35	
15	24	33	32	34	35	33	32	33	33	34	36	36	37	37	36	34	33	33	35	35	35	35	36	36	36	36	38	42	44	42	40	39	35	33	34	33	33	34	35	34	34	36	39	41	43	42	40	40	41	42	43	43	43	40	39	44	49	54	52	46	48	54	61	61	59	57	53	49	52	47	39	39	40	47	51	44	34	28	27	26	34	39	34	26	24	27	30	36	38	38	36	34	39	42	40	36	37	40	36	31	32	32	31	36	38	37	41	41	36	41	45	41	36	31	25	26	30	30	34	36	33	34	35	36	40	45	45	
14	22	33	34	34	35	36	36	36	35	36	36	36	36	36	35	34	34	35	35	36	35	34	35	36	36	35	36	38	39	37	34	32	31	32	34	36	36	37	38	37	38	40	41	42	43	43	41	40	41	42	42	42	42	39	37	39	38	36	32	31	36	42	45	45	45	41	34	29	38	40	33	33	34	39	38	30	26	28	35	36	39	40	34	28	26	29	34	43	47	39	37	38	41	44	42	36	36	43	41	36	35	35	36	39	41	41	44	43	36	37	43	41	36	33	27	27	33	34	38	39	38	40	42	43	46	49	49	
16	24	36	38	38	38	37	37	36	36	36	37	36	35	35	34	34	35	35	36	37	37	35	36	38	37	34	31	31	32	31	30	32	35	37	39	39	39	40	41	39	39	41	41	40	42	43	43	45	45	41	40	39	41	37	32	30	28	27	28	28	30	34	32	28	27	29	30	26	36	43	35	28	33	42	43	36	33	37	39	36	37	36	30	29	30	33	35	44	49	38	34	38	40	44	45	39	37	48	50	43	32	28	33	37	35	32	35	39	37	31	37	37	33	30	28	32	39	41	43	43	41	43	41	39	39	39	39	
23	29	37	40	39	38	37	35	35	35	36	37	36	33	33	33	33	35	35	35	36	36	34	35	37	36	34	31	31	35	36	37	39	40	40	38	38	37	38	38	35	36	39	39	39	41	43	45	47	47	46	47	45	42	34	28	30	32	35	38	36	32	34	35	32	29	34	39	36	39	47	40	29	31	45	47	41	33	35	38	35	37	36	31	30	32	35	34	44	49	40	31	37	43	46	48	43	33	40	41	34	27	25	31	35	33	32	34	40	39	32	35	41	37	33	30	32	38	38	40	39	36	39	37	35	36	35	35	
34	34	36	38	37	36	36	35	34	34	34	34	34	32	30	32	33	34	34	34	34	35	35	37	39	37	36	36	37	42	43	41	39	41	41	40	41	37	36	36	34	35	38	38	37	38	38	36	35	34	34	37	38	36	29	24	30	35	39	39	34	32	37	43	44	41	43	45	39	40	45	43	35	31	44	49	43	34	34	37	36	37	37	32	30	32	37	37	42	46	41	31	34	42	40	45	43	32	37	40	36	30	27	31	35	36	34	33	35	37	34	35	39	39	38	35	35	38	34	33	32	27	32	36	37	38	36	36	
39	36	34	35	34	34	34	34	32	32	32	32	33	32	30	31	34	34	33	33	34	38	39	40	43	42	42	40	39	40	40	36	35	39	39	36	36	32	33	35	32	32	34	32	30	29	27	26	26	27	26	26	29	31	28	25	29	35	37	35	30	32	38	46	49	46	47	48	45	46	46	45	44	39	47	52	47	39	36	37	38	38	36	33	29	31	36	36	36	40	40	32	32	38	37	43	43	39	47	51	43	29	27	34	39	40	39	36	38	40	40	39	39	38	39	37	34	32	29	29	30	26	31	38	37	34	33	33	
42	39	34	33	33	33	34	34	32	32	33	34	35	34	32	32	33	33	33	33	35	37	36	35	37	39	41	39	37	37	36	31	29	31	27	25	27	25	26	26	23	25	27	25	24	24	24	26	28	32	33	34	37	39	35	29	29	34	38	36	35	44	51	54	53	48	49	49	49	53	52	53	51	46	49	53	50	45	42	40	40	39	37	34	30	29	34	35	34	38	41	36	35	41	41	43	42	37	36	39	34	23	28	40	42	40	41	40	42	43	44	44	42	37	33	32	30	29	29	31	34	32	34	37	35	34	36	36	
48	43	36	35	34	34	34	35	33	33	35	36	36	34	31	31	32	33	33	33	33	34	33	31	31	31	33	31	28	29	27	21	19	23	22	24	27	25	25	23	22	25	27	24	27	29	31	35	38	41	41	39	41	43	37	29	27	33	39	39	38	45	50	52	49	45	47	46	48	51	49	53	51	47	47	48	48	46	44	41	41	40	38	36	33	32	36	40	39	42	44	42	40	39	36	35	36	34	32	33	31	24	28	39	40	38	40	40	40	40	39	39	37	34	32	34	36	36	34	37	38	33	35	37	38	42	43	43	
43	38	33	32	32	31	32	34	33	33	35	36	35	32	31	31	32	34	34	33	32	33	34	30	26	25	26	24	21	21	21	19	21	27	28	30	32	27	28	30	28	32	32	31	36	40	41	42	40	41	40	36	37	39	36	31	28	34	41	40	38	40	42	44	43	43	47	46	46	46	44	48	49	48	46	43	45	45	44	42	41	41	39	38	36	36	39	43	42	43	44	41	37	34	32	34	37	38	38	38	36	30	30	39	40	39	40	41	41	39	38	38	38	36	36	38	39	39	37	39	38	34	37	40	42	46	46	46	
36	34	29	27	28	28	29	32	32	32	34	36	34	30	30	32	34	35	35	35	34	33	30	26	23	24	26	27	27	28	29	31	36	39	37	35	37	34	36	38	37	39	40	39	40	41	42	41	38	38	38	34	36	39	37	34	30	34	39	36	36	39	42	42	42	43	46	46	46	47	45	49	50	49	48	45	45	44	44	43	41	41	40	39	38	38	39	41	38	37	38	36	37	36	36	39	39	41	42	42	41	36	36	41	41	40	40	40	40	39	39	40	41	40	40	40	40	40	39	40	40	38	38	40	41	43	44	44	
34	33	32	31	31	31	30	32	32	31	32	35	33	28	29	32	34	34	34	34	30	28	26	25	26	29	32	36	37	38	38	39	39	36	35	37	40	39	37	38	39	39	40	40	37	38	39	38	36	36	38	35	35	38	36	34	32	31	34	34	36	41	43	42	44	45	44	47	48	48	46	47	50	49	47	46	45	44	43	42	41	40	40	39	39	39	39	39	38	37	38	38	40	39	38	41	39	42	43	43	42	39	39	40	40	40	40	40	40	40	40	41	42	42	42	43	43	42	42	41	41	40	40	42	42	41	41	41	
37	37	37	38	38	36	33	33	32	31	32	36	35	28	29	32	33	32	30	28	27	29	29	29	31	34	34	35	36	37	36	36	36	35	36	38	39	37	33	33	37	37	36	37	36	37	38	38	36	35	36	36	35	38	38	35	35	32	33	36	39	44	44	42	46	48	45	47	49	49	48	48	50	49	47	46	46	44	43	42	41	40	40	40	40	40	40	40	40	40	43	44	44	43	41	43	44	45	46	45	43	41	40	40	40	39	40	40	41	41	42	43	44	44	44	44	43	43	43	42	40	39	40	44	43	38	36	36	
42	41	39	38	37	35	33	32	32	32	33	36	35	28	28	30	31	29	27	28	31	35	33	31	33	35	36	37	37	37	37	39	40	38	36	37	37	34	31	32	38	39	38	37	36	37	37	37	36	34	34	34	35	39	38	35	36	36	34	36	42	48	46	43	46	49	47	47	50	49	50	49	50	49	47	45	45	44	43	42	41	41	40	40	40	40	41	41	41	41	44	46	46	46	45	45	46	46	46	45	43	41	41	40	40	41	42	42	42	42	41	40	40	40	41	41	40	41	41	39	37	33	33	38	38	32	27	27	
43	39	34	32	32	33	32	33	32	31	31	34	33	28	29	31	30	29	29	31	32	35	35	30	32	35	36	37	35	35	35	37	38	37	34	36	37	35	34	33	37	39	36	34	35	36	36	35	37	36	34	34	36	37	35	34	36	38	35	35	41	45	44	42	45	47	46	46	51	51	51	50	49	48	46	45	44	43	42	42	41	41	41	41	41	41	41	41	41	42	43	44	45	45	45	45	45	45	45	45	45	44	42	42	42	42	43	42	42	41	39	39	39	37	38	38	37	37	38	35	33	30	29	33	35	29	21	21	
41	38	34	34	36	36	34	34	32	30	30	34	33	27	28	31	30	31	30	31	32	34	36	33	33	35	35	34	33	34	36	38	39	38	34	35	38	37	35	32	34	37	34	32	34	36	34	33	36	35	32	33	36	37	35	35	36	39	35	34	38	43	43	41	46	49	49	50	53	55	54	52	50	49	47	45	44	43	42	42	42	41	41	41	41	41	41	41	42	42	44	44	44	44	43	43	43	44	45	46	46	44	41	40	40	42	42	40	39	40	42	43	45	45	44	42	39	37	38	38	37	33	29	31	33	30	24	24	
43	42	39	38	42	40	38	37	34	31	30	34	34	27	26	32	32	29	29	33	35	34	36	35	31	32	33	33	33	35	37	39	41	39	36	36	37	36	34	31	33	36	34	32	34	36	34	32	34	34	32	32	36	37	36	34	36	39	36	36	39	44	45	43	48	51	53	54	56	57	57	55	53	51	48	46	44	44	43	42	42	41	41	42	42	42	42	42	42	43	44	44	43	42	41	40	41	40	41	42	43	40	37	37	38	41	40	37	37	38	40	39	41	44	43	41	39	38	39	39	38	34	28	28	31	33	33	33	
40	40	38	37	40	38	36	36	34	32	31	35	34	30	28	34	35	29	28	33	35	32	34	34	31	32	35	36	35	36	36	36	38	39	37	36	36	34	32	31	33	35	34	30	34	37	33	31	35	35	31	32	36	37	35	32	34	38	38	37	39	44	46	46	48	50	52	54	56	58	59	59	57	53	48	45	44	43	43	43	43	42	42	42	42	42	42	43	42	42	43	44	43	41	40	38	39	39	37	40	43	39	33	34	37	41	41	38	36	36	38	34	33	35	34	34	33	34	36	36	35	32	28	27	31	35	35	35	
35	36	33	30	33	34	33	34	35	35	34	34	31	28	27	29	34	28	27	34	36	32	32	34	33	33	36	37	36	37	37	37	37	37	35	32	31	31	29	30	33	34	33	30	33	36	33	30	32	33	31	31	35	36	34	33	34	37	38	37	39	43	46	46	47	49	51	53	55	58	61	63	60	54	48	45	44	44	44	44	44	43	43	44	43	42	42	43	43	42	42	43	43	42	41	38	39	40	35	38	42	37	30	28	32	36	37	34	32	33	35	31	28	27	28	30	28	30	33	36	37	33	29	25	29	31	27	27	
34	32	26	24	28	31	33	36	37	37	34	32	27	22	21	25	31	28	27	32	35	32	31	34	34	33	34	34	35	35	38	38	37	38	36	33	31	33	30	30	34	34	33	31	32	36	35	31	30	32	31	30	34	35	34	33	33	37	38	38	40	42	44	45	46	48	49	50	53	57	61	64	62	55	48	45	45	46	47	46	45	44	45	44	42	41	41	42	43	44	44	45	46	44	43	40	37	40	35	32	37	35	29	26	28	30	31	29	27	28	28	26	25	23	27	30	29	30	32	34	37	33	29	26	28	29	23	23	
24	25	23	23	28	31	33	34	30	28	27	26	24	18	18	27	34	31	29	30	33	33	31	34	33	33	33	32	32	31	33	35	35	36	36	33	32	32	31	30	33	35	33	31	32	35	36	33	30	30	29	29	32	33	33	34	34	37	39	39	40	42	44	45	47	48	49	50	51	54	58	62	65	57	49	48	48	48	49	48	46	43	43	43	42	38	38	41	40	39	39	40	40	36	34	31	27	30	31	28	32	33	28	25	26	28	30	29	26	27	28	27	28	27	29	32	30	30	30	31	33	32	29	28	28	26	22	22	
